backbone,metric,difference_definition,n_slide_blocks,mean_difference,median_difference,bootstrap_ci_025,bootstrap_ci_975,fraction_slides_favorable,monte_carlo_sign_flip_p_two_sided,sign_flip_draws
dinov2_base,scanner_probe_accuracy,paired_acquisition_dep20_minus_paired_reference,48,-0.3854166666666667,-0.4000000000000001,-0.4079166666666667,-0.3621666666666667,1.0,3.999984000064e-06,250000
dinov2_base,pair_cosine_average,paired_acquisition_dep20_minus_paired_reference,48,0.0310352412785093,0.0323314211964607,0.0287154182319219,0.0333194371851472,1.0,3.999984000064e-06,250000
dinov2_base,pair_cosine_worst,paired_acquisition_dep20_minus_paired_reference,48,0.0310957905650138,0.0291258269548416,0.0279484988649686,0.0343853528797626,1.0,3.999984000064e-06,250000
dinov2_base,retrieval_top1_average,paired_acquisition_dep20_minus_paired_reference,48,-8.33333333333311e-05,0.0,-0.0003124999999999,0.000125,0.0208333333333333,0.6240215039139844,250000
dinov2_base,retrieval_top1_worst,paired_acquisition_dep20_minus_paired_reference,48,-0.0004166666666666,0.0,-0.0016666666666666,0.0008333333333333,0.0208333333333333,0.7500529997880009,250000
phikon,scanner_probe_accuracy,paired_acquisition_dep20_minus_paired_reference,48,-0.4352499999999999,-0.4339999999999999,-0.4489166666666667,-0.4215,1.0,3.999984000064e-06,250000
phikon,pair_cosine_average,paired_acquisition_dep20_minus_paired_reference,48,0.090022634036839,0.0884535794258117,0.0845700676027685,0.0953042870258291,1.0,3.999984000064e-06,250000
phikon,pair_cosine_worst,paired_acquisition_dep20_minus_paired_reference,48,0.0962740719070037,0.0954221856594086,0.0903224684481198,0.1021297372790674,1.0,3.999984000064e-06,250000
phikon,retrieval_top1_average,paired_acquisition_dep20_minus_paired_reference,48,0.0006041666666666,0.0,0.0003125,0.0009583333333333,0.3125,5.5999776000896e-05,250000
phikon,retrieval_top1_worst,paired_acquisition_dep20_minus_paired_reference,48,0.0047916666666666,0.0,0.0027083333333333,0.0070833333333333,0.3125,5.5999776000896e-05,250000
resnet50,scanner_probe_accuracy,paired_acquisition_dep20_minus_paired_reference,48,-0.3685,-0.382,-0.3906666666666667,-0.3449166666666667,1.0,3.999984000064e-06,250000
resnet50,pair_cosine_average,paired_acquisition_dep20_minus_paired_reference,48,0.0255019457228481,0.0258342403545975,0.0223837767329687,0.0287047303993953,1.0,3.999984000064e-06,250000
resnet50,pair_cosine_worst,paired_acquisition_dep20_minus_paired_reference,48,0.0293889520876109,0.0278135459125041,0.0255566764345081,0.0333451647823676,0.9791666666666666,3.999984000064e-06,250000
resnet50,retrieval_top1_average,paired_acquisition_dep20_minus_paired_reference,48,0.0080833333333333,0.008,0.0061041666666666,0.0101875,0.8541666666666666,3.999984000064e-06,250000
resnet50,retrieval_top1_worst,paired_acquisition_dep20_minus_paired_reference,48,0.016875,0.0100000000000002,0.0104166666666666,0.0233333333333333,0.7291666666666666,1.1999952000192e-05,250000

