slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
slide_1,-0.30200000000000005,0.02556738361716271,0.0299543830752374,0.0005000000000000004,-0.0050000000000000044
slide_10,-0.424,0.06801867175102239,0.07738906711339955,0.007000000000000006,0.030000000000000027
slide_11,-0.4159999999999999,0.054464496359229175,0.05409486100077626,0.005500000000000005,-0.00500000000000006
slide_12,-0.39,0.044729726016521476,0.04496970206499096,-0.0005000000000000004,-0.0050000000000000044
slide_13,-0.352,0.055106839507818306,0.0601582685112953,0.0015000000000000013,0.0050000000000000044
slide_14,-0.43200000000000005,0.05305907398462295,0.06099736094474789,0.0040000000000000036,0.024999999999999967
slide_15,-0.4640000000000001,0.059884697273373644,0.06425894990563391,0.003500000000000003,0.009999999999999953
slide_16,-0.368,0.053927554294466995,0.06833708047866827,0.004999999999999949,-0.010000000000000009
slide_17,-0.43799999999999994,0.054500556349754314,0.05449899807572356,0.006999999999999895,0.030000000000000027
slide_18,-0.32800000000000007,0.04309076316654681,0.04532392635941501,0.005500000000000005,0.010000000000000009
slide_19,-0.366,0.07795483836531647,0.08511301666498178,0.007500000000000007,0.020000000000000018
slide_2,-0.436,0.07673482660949227,0.0800306865572929,0.003500000000000003,0.0050000000000000044
slide_20,-0.46799999999999997,0.04450199595093729,0.04546879082918176,0.0010000000000000009,0.0
slide_21,-0.4620000000000001,0.05851350872218608,0.05839743629097943,0.009000000000000008,0.02999999999999997
slide_22,-0.42000000000000004,0.0489415635243059,0.05432841032743457,0.003999999999999948,0.0050000000000001155
slide_23,-0.43400000000000005,0.07003320690989495,0.07044127568602557,0.0050000000000000044,0.004999999999999949
slide_24,-0.41,0.0462667956352234,0.06007300317287445,-0.0005000000000000004,-0.010000000000000009
slide_25,-0.36,0.07665183980762952,0.08992791801691061,0.006999999999999951,0.02499999999999991
slide_26,-0.352,0.029719812035560622,0.02478095412254333,0.0025000000000000022,0.004999999999999949
slide_27,-0.434,0.05439943039417272,0.055503137707710204,0.0,0.010000000000000064
slide_28,-0.352,0.06057483774423594,0.06004674479365352,0.007000000000000006,0.019999999999999962
slide_29,-0.394,0.07330420545488597,0.07832855820655829,0.003500000000000003,0.0050000000000000044
slide_3,-0.42800000000000005,0.05561821657419197,0.06240783125162125,0.0005000000000000004,0.0050000000000000044
slide_30,-0.38799999999999996,0.06660742250084872,0.07412988975644103,0.008500000000000008,0.025000000000000078
slide_31,-0.378,0.07346415762603287,0.07930463165044782,0.004500000000000004,0.015000000000000013
slide_32,-0.364,0.06916891026496885,0.0734348502755165,-0.0005000000000000004,-0.010000000000000009
slide_33,-0.42,0.054079965054988854,0.058613532185554484,0.0040000000000000036,0.0050000000000000044
slide_34,-0.44399999999999995,0.05492201328277585,0.06264579445123675,0.00550000000000006,0.015000000000000124
slide_35,-0.396,0.06898796750605102,0.07745163500308994,0.009000000000000008,0.020000000000000018
slide_36,-0.372,0.06472657918930053,0.06893589079380041,0.008500000000000008,0.030000000000000027
slide_37,-0.44,0.054338469684123925,0.06238615348935128,0.0005000000000000004,0.004999999999999949
slide_38,-0.526,0.05903104695677758,0.06385906249284745,0.013999999999999957,0.02999999999999997
slide_39,-0.4,0.05639957156777381,0.06738092601299278,0.004500000000000004,0.020000000000000073
slide_4,-0.368,0.05911889752745625,0.06034171789884557,0.004500000000000004,0.019999999999999962
slide_40,-0.31200000000000006,0.02727641007304188,0.035807141065597514,0.009500000000000008,0.03499999999999992
slide_41,-0.388,0.04625704392790797,0.03978655397891995,0.005500000000000005,-0.010000000000000009
slide_42,-0.42400000000000004,0.07381732909381394,0.07978509157896041,0.0,0.0
slide_43,-0.388,0.07964635121822355,0.09006003558635717,0.013000000000000012,0.020000000000000018
slide_44,-0.402,0.08119782385230068,0.08914303719997402,0.012000000000000066,0.030000000000000027
slide_45,-0.44000000000000006,0.05670118464529511,0.05960001066327092,-0.0015000000000000013,-0.009999999999999953
slide_46,-0.43,0.06434385453164582,0.06938012778759012,0.0025000000000000022,0.015000000000000013
slide_47,-0.386,0.046111238479614236,0.05418859034776691,-0.0010000000000000009,-0.010000000000000009
slide_48,-0.408,0.04987792564928528,0.047459102720022184,0.0030000000000000027,0.020000000000000018
slide_5,-0.484,0.05951088967919349,0.06770526021718981,0.008000000000000007,0.014999999999999958
slide_6,-0.41000000000000003,0.0822302819639445,0.09175871491432191,0.0015000000000000013,0.014999999999999958
slide_7,-0.374,0.05584550319612025,0.06407307088375092,0.0010000000000000009,-0.004999999999999949
slide_8,-0.34400000000000003,0.04116145589947706,0.0455617272853851,0.0010000000000000009,0.010000000000000009
slide_9,-0.374,0.042202780812978735,0.04828966647386551,0.0020000000000000018,0.010000000000000009
