fold,seed,acquisition_scanner_probe,acquisition_tissue_retrieval,acquisition_effective_rank,cross_covariance_rms
0,701,0.7959999999999999,0.15899999999999997,8.864732335745513,0.09125707298517227
0,702,0.7779999999999999,0.1605,9.345101609558224,0.08992242813110352
0,703,0.772,0.157,9.163140599245322,0.09092997759580612
0,704,0.772,0.17250000000000001,9.239668180578043,0.09107769280672073
0,705,0.786,0.166,9.40273545048857,0.09216780215501785
1,701,0.7620000000000001,0.1955,9.266973848237663,0.07956907153129578
1,702,0.76,0.20049999999999998,9.896274421462746,0.08349643647670746
1,703,0.7699999999999999,0.1965,9.728833794047024,0.08475007861852646
1,704,0.7620000000000001,0.19549999999999998,9.623502819011662,0.08144727349281311
1,705,0.77,0.20549999999999996,10.109001415339849,0.08366946876049042
2,701,0.7460000000000001,0.1835,9.515565888112805,0.09076221287250519
2,702,0.736,0.1825,9.917903558942994,0.09248916059732437
2,703,0.728,0.17950000000000005,9.974322283982875,0.08893752843141556
2,704,0.732,0.166,9.315901993437805,0.09280795603990555
2,705,0.75,0.17200000000000001,9.751022212393085,0.09011726826429367
3,701,0.8555555555555555,0.12611111111111112,8.270860954114081,0.09288860112428665
3,702,0.8600000000000001,0.1211111111111111,8.176919564654781,0.09051816165447235
3,703,0.8688888888888888,0.11944444444444444,8.594068566341027,0.09118326753377914
3,704,0.8488888888888889,0.12833333333333333,8.621834048353394,0.09006375074386597
3,705,0.8555555555555555,0.13111111111111112,9.086523252788158,0.0893499106168747
4,701,0.7755555555555557,0.19444444444444448,9.264870720286817,0.09417569637298584
4,702,0.78,0.19722222222222222,9.181109570430298,0.0920945554971695
4,703,0.7866666666666667,0.15944444444444444,8.02029513946951,0.08959874510765076
4,704,0.7911111111111111,0.19055555555555553,9.235285432331848,0.09354542940855026
4,705,0.7711111111111111,0.2033333333333333,9.468554949460733,0.09236228466033936
